season,station_i,station_j,distance_km,n_pair_days,chi_0_95,f_madogram,theta_fmadogram
W,6290,6330,191.57960290249338,3067,0.5064558629776021,0.05795053738493442,1.2621902854133653
W,6290,6343,181.19756841740062,3066,0.6173136474231364,0.050990686701812005,1.227125296476641
W,6290,6344,170.43938856376195,3067,0.5980541197932503,0.04929607643552194,1.2187514856567232
W,6290,6348,138.34220247080953,3063,0.6747826086956521,0.044692501935463355,1.1963178824220835
W,6290,6350,155.50984906341648,3067,0.6165587419056429,0.05490318818083251,1.2467022307189133
W,6290,6356,127.93996094855768,3065,0.6932971014492754,0.04505750463158611,1.198079999517734
W,6290,6370,138.5245965231488,3067,0.6435032483758121,0.046846415652546124,1.2067573435174543
W,6290,6375,106.06328011908222,3066,0.6449035416066802,0.041813782165519536,1.1825187250858111
W,6290,6380,170.91761009002386,3067,0.5990669049037125,0.05745374463591163,1.259650800066735
W,6290,6391,98.57362935932852,3067,0.6569693094629157,0.05007360860353457,1.2225857809679397
W,6308,6310,16.501191590337328,3013,0.6949144108280254,0.038038958539576694,1.1646847033651238
W,6308,6312,46.14956202461494,2994,0.5722373875240117,0.042195258917582794,1.1843373610234698
W,6308,6316,37.611876639720506,2984,0.6429616245052487,0.03691686241402791,1.1594394587826002
W,6308,6319,37.69046048296581,3011,0.61422370280638,0.04151265854166671,1.1810852984931943
W,6308,6320,63.91998569561994,3013,0.5893207929043396,0.043245922933949923,1.189361956927628
W,6308,6330,85.07230866243067,3013,0.587492762015055,0.04290114035227287,1.1877105551535856
W,6308,6343,85.95632669915028,3012,0.5926703339123721,0.04665961953994492,1.2058480627408226
W,6308,6344,97.92360353350514,3013,0.6413968197407688,0.047639162445424744,1.2106246097825712
W,6308,6348,125.15871740796432,3009,0.6061783439490446,0.04899782639226886,1.2172842139554112
W,6308,6350,109.72242256280387,3013,0.5472474977252048,0.04934278952823111,1.2189814714229328
W,6308,6356,132.99886247109822,3011,0.6028131634819534,0.04918466623182992,1.218203164567259
W,6308,6370,138.75241457327178,3013,0.6057811394196744,0.049287655219181783,1.2187100299777696
W,6308,6375,163.9876348956715,3012,0.5709889826131864,0.052606644023914795,1.2351695362535817
W,6308,6380,174.39202717494726,3013,0.5591825902335457,0.057209656038270114,1.2584051654171333
W,6308,6391,195.6722304212698,3013,0.57862703467799,0.058044023509947154,1.2626688023134067
W,6310,6312,36.215958498711316,3050,0.5960875984251969,0.04144411449206872,1.1807592740682507
W,6310,6316,24.78647001285205,3039,0.6271732811922,0.03421962707676301,1.1469346029417282
W,6310,6319,30.33694339403384,3067,0.7215797244094488,0.0371888398600114,1.1607084835584465
W,6310,6320,54.105254502895725,3069,0.6005403037383177,0.04242778867027151,1.1854474009554652
W,6310,6330,71.05414768926062,3069,0.5662642045454546,0.041708837478906614,1.1820189472974485
W,6310,6343,70.37369684612277,3068,0.6232244318181819,0.04124433323685724,1.179809585908186
W,6310,6344,82.29878178724744,3069,0.6736505681818181,0.039784087524642686,1.172893141876197
W,6310,6348,108.82627505603531,3065,0.6370833333333333,0.04264628482747065,1.1864914765648422
W,6310,6350,93.72618290113222,3069,0.6259973404255319,0.045199648500199294,1.1987669901799498
W,6310,6356,116.4979131450844,3067,0.6216145833333333,0.04342036441633532,1.1901984277543578
W,6310,6370,123.43639960959302,3069,0.63984375,0.046071013283274266,1.2029877563735532
W,6310,6375,147.93652671235103,3068,0.6279232201986755,0.04860498764803658,1.215354562270343
W,6310,6380,162.34300769025336,3069,0.6671125856164384,0.050378311818069135,1.224092000640701
W,6310,6391,180.2127996288524,3069,0.5990349264705883,0.05504353764578035,1.2474108920884104
W,6312,6316,13.29708977956555,3025,0.6957760732928517,0.02987646670893429,1.1271004942032417
W,6312,6319,62.504807206139056,3048,0.6431471456692913,0.04783057209133402,1.2115603981125205
W,6312,6320,17.999575042942446,3050,0.6872140982377203,0.029438354244191847,1.1251200751685082
W,6312,6330,42.433273017198815,3050,0.664884779310843,0.03743808772508541,1.1618727644088205
W,6312,6343,49.47030946102916,3049,0.6411655929372464,0.04336034864330615,1.1899105717800937
W,6312,6344,60.62679949363589,3050,0.6021144210120588,0.045920354160988996,1.2022568268883365
W,6312,6348,92.32628697458702,3046,0.5888976377952756,0.04910466619317901,1.217809600195229
W,6312,6350,93.33026493354969,3050,0.5911654660188753,0.05290831899343971,1.2366777161870897
W,6312,6356,105.22706785515742,3048,0.5591535433070867,0.05189830083374269,1.2316362599396753
W,6312,6370,126.22504510528883,3050,0.5908226988867771,0.053787895028172696,1.24108666900271
W,6312,6375,144.1475140702168,3049,0.5581164937164311,0.05619727621360659,1.253253408334893
W,6312,6380,176.84960415813228,3050,0.544763240211412,0.06099929990134025,1.2779006953183967
W,6312,6391,180.18431974533004,3050,0.5329434923575729,0.061534216735409285,1.2806796748300728
W,6316,6319,49.317104946401955,3037,0.6657001489678656,0.04314311880398376,1.1888692961832528
W,6316,6320,30.06763781940981,3039,0.6285815694372742,0.03360399114259605,1.1441006805565102
W,6316,6330,47.48190498175671,3039,0.6354288529031464,0.03545586050528049,1.1526479724568068
W,6316,6343,50.00731338867877,3038,0.6885598647471693,0.03741762219824254,1.1617771190336095
W,6316,6344,61.876830697257155,3039,0.6832785948879052,0.04032016810374323,1.1754271791190654
W,6316,6348,91.5751479683586,3035,0.6442953020134228,0.04287231616113242,1.187572609040429
W,6316,6350,86.31356525618874,3039,0.5909902950123123,0.04816930401636862,1.2132183777886294
W,6316,6356,102.39170138398498,3037,0.5743612881394169,0.04428658953797882,1.194361581297681
W,6316,6370,118.59571909196757,3039,0.6213413497390008,0.048265736396145925,1.2136908367813
W,6316,6375,138.84201203304872,3038,0.5886353467561521,0.050108324673952015,1.222757287685473
W,6316,6380,166.28311286888982,3039,0.5307104836843324,0.05593970484112984,1.2519464381345622
W,6316,6391,173.80111114642372,3039,0.5435744469301517,0.0572939090162983,1.2588349705737731
