design,estimand,d0_km,season,true,mc_mean,bias,rmse,coverage,mean_band_width,n_obs,size_or_power,size_excl_zero_2sided
alternative,chi_0.95,100.0,winter,0.7188780906286045,0.7079520468497779,-0.010926043778826666,0.03154194928485553,0.8333333333333334,0.14855663323382376,500,,
alternative,chi_0.95,100.0,summer,0.5365905186795867,0.5082996882049367,-0.028290830474650086,0.035340301503992956,0.8333333333333334,0.14775476683171154,500,,
alternative,chi_0.95,100.0,diff,0.1822875719490178,0.1996523586448413,0.017364786695823503,0.045704721210268424,1.0,0.20027956525647947,500,1.0,1.0
alternative,chi_0.95,200.0,winter,0.6123875483151714,0.5967804966272748,-0.015607051687896556,0.051246995716913255,0.8333333333333334,0.2088212935784841,500,,
alternative,chi_0.95,200.0,summer,0.38763608688790774,0.37133941073911264,-0.016296676148795097,0.039129022213320916,0.8333333333333334,0.18224771545412632,500,,
alternative,chi_0.95,200.0,diff,0.22475146142726365,0.22544108588816217,0.0006896244608985136,0.061775984336621764,1.0,0.27482620145913056,500,1.0,1.0
alternative,chi_0.975,50.0,winter,0.7953065344795311,0.7911504123130352,-0.004156122166495968,0.038941749007870174,0.8333333333333334,0.17612855329229063,500,,
alternative,chi_0.975,50.0,summer,0.6540564846941915,0.6237096121944031,-0.030346872499788402,0.040393077088591696,1.0,0.18944092477965793,500,,
alternative,chi_0.975,50.0,diff,0.14125004978533962,0.16744080011863205,0.026190750333292434,0.05666188859581116,1.0,0.25673743179404945,500,0.6666666666666666,0.6666666666666666
alternative,chi_0.975,100.0,winter,0.7141044700352677,0.706858174034009,-0.007246296001258701,0.055081826598294185,0.8333333333333334,0.23942909999348658,500,,
alternative,chi_0.975,100.0,summer,0.5275581127516067,0.4964176553788362,-0.03114045737277049,0.05373688284100303,1.0,0.2414991586174923,500,,
alternative,chi_0.975,100.0,diff,0.18654635728366098,0.21044051865517285,0.023894161371511874,0.0791051687920756,1.0,0.33053407160846116,500,0.5,0.5
alternative,chi_0.975,200.0,winter,0.6052383166283265,0.5895811745606361,-0.01565714206769042,0.07876275682602099,0.8333333333333334,0.32015030471358824,500,,
alternative,chi_0.975,200.0,summer,0.3744328328255172,0.3403413272408949,-0.03409150558462232,0.06088438435350309,1.0,0.278963298848133,500,,
alternative,chi_0.975,200.0,diff,0.2308054838028093,0.24923984731974133,0.018434363516932034,0.09655812461696653,1.0,0.411193882600492,500,0.6666666666666666,0.6666666666666666
alternative,chi_0.99,50.0,winter,0.7934059978513368,0.7926686005725722,-0.000737397278764651,0.05158049312973122,1.0,0.3170186665714449,500,,
alternative,chi_0.99,50.0,summer,0.6504608934966399,0.6377697975715044,-0.01269109592513551,0.06857058751843007,0.8333333333333334,0.31812144292876804,500,,
alternative,chi_0.99,50.0,diff,0.14294510435469687,0.15489880300106781,0.011953698646370942,0.07869336747520711,1.0,0.4602359669083436,500,0.16666666666666666,0.16666666666666666
alternative,chi_0.99,100.0,winter,0.7112679043012042,0.6965698210512641,-0.014698083249940153,0.08406418825514204,1.0,0.42035261008656727,500,,
alternative,chi_0.99,100.0,summer,0.5221768844504089,0.5000180625979819,-0.022158821852427013,0.09170063464307265,0.8333333333333334,0.36735853450695094,500,,
alternative,chi_0.99,100.0,diff,0.18909101985079535,0.1965517584532823,0.007460738602486944,0.10685841947483367,1.0,0.5568752659642947,500,0.3333333333333333,0.3333333333333333
alternative,chi_0.99,200.0,winter,0.6009836549319741,0.5848811726252349,-0.016102482306739274,0.10161807864072828,1.0,0.5937310744150527,500,,
alternative,chi_0.99,200.0,summer,0.36654982232043853,0.34214003451467095,-0.02440978780576758,0.10595145740976002,0.8333333333333334,0.4532041299789584,500,,
alternative,chi_0.99,200.0,diff,0.2344338326115356,0.24274113811056397,0.008307305499028361,0.1385427203926546,1.0,0.7740296840064532,500,0.16666666666666666,0.16666666666666666
