i,j,station_i,station_j,name_i,name_j,dist_km
7,8,06273,06275,MARKNESSE AWS,DEELEN,71.97294870280236
1,5,06235,06269,DE KOOY VK,LELYSTAD AP,72.3406752078105
31,32,06380,06391,MAASTRICHT AACHEN AP,ARCEN AWS,72.43576437811689
1,6,06235,06270,DE KOOY VK,LEEUWARDEN,72.72342181512468
23,27,06330,06350,HOEK VAN HOLLAND AWS,GILZE RIJEN,73.33357104989452
3,23,06260,06330,DE BILT AWS,HOEK VAN HOLLAND AWS,73.34176842087724
3,29,06260,06370,DE BILT AWS,EINDHOVEN AP,73.451777949653
8,16,06275,06290,DEELEN,TWENTHE AWS,73.59753591432352
0,4,06225,06267,IJMUIDEN WP,STAVOREN AWS,73.83899598342073
8,29,06275,06370,DEELEN,EINDHOVEN AP,75.41918770590775
2,4,06240,06267,AMSTERDAM/SCHIPHOL AP,STAVOREN AWS,75.88682081747324
11,13,06279,06283,HOOGEVEEN AWS,HUPSEL AWS,75.94696177122945
6,11,06270,06279,LEEUWARDEN,HOOGEVEEN AWS,76.18085972246267
9,11,06277,06279,LAUWERSOOG AWS,HOOGEVEEN AWS,77.816323601737
4,10,06267,06278,STAVOREN AWS,HEINO AWS,78.28741044446693
0,28,06225,06356,IJMUIDEN WP,HERWIJNEN AWS,78.34524614932988
1,7,06235,06273,DE KOOY VK,MARKNESSE AWS,78.45217528087574
4,9,06267,06277,STAVOREN AWS,LAUWERSOOG AWS,78.98709097120629
21,22,06319,06320,WESTDORPE AWS,LICHTEILAND GOEREE,79.06944119511643
5,11,06269,06279,LELYSTAD AP,HOOGEVEEN AWS,79.3153311595148
2,8,06240,06275,AMSTERDAM/SCHIPHOL AP,DEELEN,79.35985524998068
13,30,06283,06375,HUPSEL AWS,VOLKEL,79.53410076957297
10,12,06278,06280,HEINO AWS,GRONINGEN AP EELDE,79.70691326186741
21,24,06319,06343,WESTDORPE AWS,ROTTERDAM GEULHAVEN,80.48490377694057
4,11,06267,06279,STAVOREN AWS,HOOGEVEEN AWS,81.61719566487409
7,9,06273,06277,MARKNESSE AWS,LAUWERSOOG AWS,81.62877772195486
18,25,06310,06344,VLISSINGEN AWS,ROTTERDAM THE HAGUE AP,82.29878178724744
3,10,06260,06278,DE BILT AWS,HEINO AWS,82.3705653185224
