rep,scenario,i,j,dist_km,chi_u_0.90_summer,chi_u_0.90_winter,chi_u_0.95_summer,chi_u_0.95_winter,chi_u_0.98_summer,chi_u_0.98_winter,theta_hat_summer,theta_hat_winter,theta_true_summer,theta_true_winter,theta_hat_diff_W_minus_S,theta_true_diff_W_minus_S,chi_u_0.90_diff_W_minus_S,chi_u_0.95_diff_W_minus_S,chi_u_0.98_diff_W_minus_S
0,alternative,1,14,159.50890181862155,0.45714285714285713,0.6761904761904762,0.4713375796178344,0.6751592356687898,0.49206349206349204,0.746031746031746,1.5868310384801423,1.358687624224001,1.5850665168003353,1.3621310946475056,-0.22814341425614137,-0.2229354221528297,0.2190476190476191,0.20382165605095537,0.253968253968254
0,alternative,1,15,134.4111044715369,0.5047619047619047,0.6984126984126984,0.4968152866242038,0.7070063694267515,0.5079365079365079,0.746031746031746,1.534570037394268,1.3329697194485017,1.54575839916505,1.3343074474899475,-0.20160031794576616,-0.21145095167510264,0.19365079365079363,0.21019108280254772,0.23809523809523814
0,alternative,1,16,113.24088273546187,0.5650793650793651,0.6984126984126984,0.5159235668789809,0.732484076433121,0.5396825396825397,0.7777777777777778,1.496855551586563,1.30537252496433,1.507856730839852,1.3083258720848927,-0.19148302662223293,-0.19953085875495935,0.1333333333333333,0.21656050955414008,0.23809523809523814
0,alternative,1,17,109.8091081242824,0.546031746031746,0.692063492063492,0.5477707006369427,0.7197452229299363,0.49206349206349204,0.8095238095238095,1.482845101623638,1.3045653410034148,1.5012231313264324,1.3038543482736997,-0.1782797606202231,-0.19736878305273264,0.14603174603174607,0.1719745222929936,0.3174603174603175
0,alternative,1,18,106.94203741484614,0.5619047619047619,0.692063492063492,0.5796178343949044,0.7133757961783439,0.5238095238095238,0.7936507936507936,1.4735077874881337,1.2989926091938386,1.4955642044656567,1.3000564643583787,-0.17451517829429508,-0.195507740107278,0.13015873015873014,0.13375796178343946,0.26984126984126977
0,alternative,1,19,151.7999304126509,0.49523809523809526,0.6571428571428571,0.535031847133758,0.643312101910828,0.5079365079365079,0.7619047619047619,1.5726095801594695,1.3521038279789852,1.5735601162757857,1.3538848958573784,-0.2205057521804843,-0.21967522041840737,0.16190476190476188,0.10828025477707004,0.25396825396825395
0,alternative,1,20,121.41986473735719,0.5396825396825397,0.6825396825396826,0.5414012738853503,0.7006369426751592,0.5079365079365079,0.7936507936507936,1.5070248930637609,1.3178732167848335,1.5230878918512336,1.3186755183898593,-0.18915167627892737,-0.2044123734613743,0.1428571428571429,0.15923566878980888,0.2857142857142857
0,alternative,1,21,169.20275299260436,0.4666666666666667,0.6285714285714286,0.49044585987261147,0.643312101910828,0.49206349206349204,0.7301587301587301,1.605376304571514,1.3774484618496616,1.5988951263113664,1.3721618633249975,-0.2279278427218523,-0.22673326298636898,0.16190476190476188,0.15286624203821653,0.23809523809523808
0,alternative,1,22,154.43695603272067,0.49206349206349204,0.638095238095238,0.4585987261146497,0.6751592356687898,0.4444444444444444,0.746031746031746,1.5559135459954465,1.355402583725222,1.5775491967191835,1.3567337457120932,-0.20051096227022458,-0.22081545100709032,0.146031746031746,0.21656050955414008,0.3015873015873016
0,alternative,1,23,234.63554524779116,0.41904761904761906,0.5650793650793651,0.42038216560509556,0.6050955414012739,0.3492063492063492,0.6825396825396826,1.6718564134756109,1.4287118808964285,1.6772198583252225,1.4319063802542467,-0.24314453257918234,-0.2453134780709758,0.146031746031746,0.1847133757961783,0.33333333333333337
0,alternative,1,24,185.9161346058948,0.44126984126984126,0.6095238095238096,0.445859872611465,0.6369426751592356,0.38095238095238093,0.6666666666666666,1.6097618948706887,1.3951233896413888,1.6212178020030108,1.388652144846784,-0.21463850522929984,-0.2325656571562269,0.16825396825396832,0.19108280254777066,0.2857142857142857
0,alternative,2,3,35.99197266525385,0.7333333333333333,0.8253968253968254,0.732484076433121,0.8407643312101911,0.7142857142857143,0.8571428571428571,1.295629500179938,1.175688075204392,1.30143267628324,1.1769173248896,-0.11994142497554616,-0.1245153513936399,0.09206349206349207,0.10828025477707015,0.1428571428571428
0,alternative,2,4,50.891286153925726,0.6634920634920635,0.7968253968253968,0.6560509554140127,0.8343949044585988,0.6984126984126984,0.8412698412698413,1.3476787412630085,1.2085396912563582,1.3548323242900566,1.2096541299763068,-0.13913905000665028,-0.1451781943137498,0.1333333333333333,0.17834394904458606,0.1428571428571429
0,alternative,2,5,119.7275887154305,0.5396825396825397,0.6952380952380952,0.535031847133758,0.7070063694267515,0.5079365079365079,0.6984126984126984,1.5055990476065464,1.3124046268361151,1.5200007230226924,1.31656821321201,-0.19319442077043125,-0.2034325098106824,0.15555555555555556,0.1719745222929936,0.19047619047619047
0,alternative,2,6,85.72872821645691,0.580952380952381,0.7396825396825397,0.5732484076433121,0.7707006369426752,0.6031746031746031,0.7619047619047619,1.437114890472056,1.265546681128696,1.4499362830474483,1.269952124275509,-0.17156820934336015,-0.1799841587719393,0.15873015873015872,0.19745222929936312,0.15873015873015872
0,alternative,2,7,79.35985524998068,0.5841269841269842,0.746031746031746,0.5605095541401274,0.7643312101910829,0.6190476190476191,0.7936507936507936,1.4424258873791809,1.260984590320476,1.4347328512951734,1.2601084906670261,-0.18144129705870493,-0.17462436062814723,0.16190476190476188,0.20382165605095548,0.17460317460317454
0,alternative,2,8,150.51196154370513,0.4888888888888889,0.6666666666666666,0.4968152866242038,0.6815286624203821,0.5079365079365079,0.7142857142857143,1.548923282048333,1.3432780182808572,1.5715911611425595,1.3524825663599311,-0.20564526376747572,-0.21910859478262834,0.17777777777777776,0.1847133757961783,0.2063492063492064
0,alternative,2,9,130.2442499723368,0.5142857142857142,0.7047619047619048,0.47770700636942676,0.7515923566878981,0.5079365079365079,0.7142857142857143,1.5206239564220905,1.3333333333333333,1.5386776412504761,1.3293946041608893,-0.1872906230887572,-0.20928303708958684,0.19047619047619058,0.2738853503184714,0.2063492063492064
0,alternative,2,10,186.33845777383937,0.4634920634920635,0.6412698412698413,0.4394904458598726,0.6942675159235668,0.49206349206349204,0.6825396825396826,1.5896474631335318,1.3849920417366712,1.6217587308602877,1.389056580106311,-0.20465542139686055,-0.2327021507539766,0.1777777777777778,0.2547770700636942,0.19047619047619052
0,alternative,2,11,142.9670114231804,0.4888888888888889,0.6857142857142857,0.4585987261146497,0.7133757961783439,0.49206349206349204,0.6666666666666666,1.5386209579424734,1.3445887482700196,1.5597750292410626,1.3441185996514768,-0.19403220967245383,-0.21565642958958575,0.19682539682539685,0.2547770700636942,0.1746031746031746
0,alternative,2,12,127.27575895428843,0.5206349206349207,0.6888888888888889,0.49044585987261147,0.7261146496815286,0.6190476190476191,0.746031746031746,1.5242958693016635,1.3174191734791594,1.533525821261477,1.3258377664514616,-0.20687669582250412,-0.2076880548100155,0.1682539682539682,0.23566878980891715,0.12698412698412698
0,alternative,2,13,100.63865991903482,0.546031746031746,0.7142857142857143,0.5286624203821656,0.7452229299363057,0.6190476190476191,0.7777777777777778,1.4843297241786166,1.2805156086188425,1.482727325177013,1.2914961167778598,-0.20381411555977413,-0.1912312083991532,0.16825396825396832,0.21656050955414008,0.15873015873015872
0,alternative,2,14,105.06773718987931,0.5682539682539682,0.7142857142857143,0.5286624203821656,0.732484076433121,0.6190476190476191,0.7777777777777778,1.4909197178330387,1.2889596350818606,1.4918051786680586,1.2975419486828224,-0.20196008275117805,-0.19426322998523626,0.14603174603174607,0.20382165605095537,0.15873015873015872
0,alternative,2,15,87.96418287075139,0.5523809523809524,0.7301587301587301,0.5668789808917197,0.7579617834394905,0.6507936507936508,0.7777777777777778,1.4516373642116502,1.264511889905159,1.455091285356736,1.273309895288554,-0.18712547430649118,-0.18178139006818195,0.1777777777777777,0.19108280254777077,0.12698412698412698
0,alternative,2,16,58.23794473297826,0.6571428571428571,0.7873015873015873,0.5796178343949044,0.7707006369426752,0.6190476190476191,0.8253968253968254,1.3766383962991524,1.219275555157068,1.3777071500398725,1.2238997437288488,-0.15736284114208443,-0.15380740631102374,0.13015873015873014,0.19108280254777077,0.20634920634920628
0,alternative,2,17,46.03905406016586,0.6603174603174603,0.7873015873015873,0.6687898089171974,0.7898089171974523,0.7142857142857143,0.8412698412698413,1.3292446912539004,1.197644412315302,1.3386016278424042,1.1996311648964455,-0.13160027893859838,-0.13897046294595872,0.12698412698412698,0.12101910828025486,0.12698412698412698
0,alternative,2,18,39.794791049845315,0.7111111111111111,0.8,0.7006369426751592,0.8343949044585988,0.7777777777777778,0.8412698412698413,1.3155518374362773,1.1824035693648864,1.316138708461251,1.18586645998775,-0.1331482680713909,-0.13027224847350105,0.0888888888888889,0.13375796178343957,0.06349206349206349
0,alternative,2,19,84.23426898192729,0.6222222222222222,0.7492063492063492,0.554140127388535,0.732484076433121,0.6984126984126984,0.7619047619047619,1.4519680417703984,1.2696019024535243,1.4464389087509557,1.2676799565503367,-0.18236613931687407,-0.178758952200619,0.12698412698412698,0.17834394904458595,0.06349206349206349
0,alternative,2,20,56.56644045900574,0.6634920634920635,0.7682539682539683,0.6560509554140127,0.7770700636942676,0.6666666666666666,0.8412698412698413,1.3722543999151067,1.2218936547096697,1.372666054908234,1.2207477373249953,-0.15036074520543696,-0.1519183175832386,0.10476190476190483,0.12101910828025486,0.17460317460317465
0,alternative,2,21,104.54205332466621,0.580952380952381,0.7015873015873015,0.5414012738853503,0.7579617834394905,0.6031746031746031,0.7619047619047619,1.497159588364224,1.2986566534399309,1.490742227337715,1.2968320937669717,-0.19850293492429305,-0.19391013357074338,0.12063492063492054,0.2165605095541402,0.15873015873015872
0,alternative,2,22,96.46652697198006,0.5714285714285714,0.7174603174603175,0.5414012738853503,0.7515923566878981,0.6031746031746031,0.7936507936507936,1.4769484197105758,1.285360032879399,1.4739129308339138,1.285660700859751,-0.19158838683117674,-0.1882522299741629,0.14603174603174607,0.21019108280254784,0.19047619047619047
0,alternative,2,23,170.7429282765949,0.45714285714285713,0.6317460317460317,0.4713375796178344,0.6751592356687898,0.4444444444444444,0.6666666666666666,1.599686538931982,1.3712365505342514,1.6010301298515366,1.3737227192822126,-0.22844998839773067,-0.22730741056932402,0.1746031746031746,0.20382165605095537,0.2222222222222222
0,alternative,2,24,132.74360323173045,0.4793650793650794,0.6666666666666666,0.5222929936305732,0.7197452229299363,0.5079365079365079,0.6825396825396826,1.5475638158235827,1.3378432105941989,1.5429455323490153,1.3323523882609956,-0.20972060522938385,-0.21059314408801977,0.18730158730158725,0.197452229299363,0.17460317460317465
0,alternative,3,4,44.81844650594616,0.7015873015873015,0.7873015873015873,0.7006369426751592,0.8471337579617835,0.7301587301587301,0.8571428571428571,1.3343375619117508,1.2016929188876246,1.3343591144405933,1.1970222273145266,-0.13264464302412615,-0.13733688712606673,0.08571428571428574,0.14649681528662428,0.12698412698412698
0,alternative,3,5,130.82162080060164,0.5301587301587302,0.6825396825396826,0.535031847133758,0.6815286624203821,0.47619047619047616,0.6666666666666666,1.5233146632987384,1.3254209380543744,1.5396691487569714,1.3300808362663545,-0.197893725244364,-0.20958831249061682,0.1523809523809524,0.14649681528662417,0.19047619047619047
0,alternative,3,6,82.47178048205572,0.6031746031746031,0.7238095238095238,0.5987261146496815,0.7643312101910829,0.5396825396825397,0.746031746031746,1.4416412166325765,1.261776990860057,1.442260012317581,1.2649711544981512,-0.1798642257725196,-0.17728885781942982,0.12063492063492065,0.16560509554140135,0.2063492063492064
0,alternative,3,7,47.580485367688695,0.6793650793650794,0.7777777777777778,0.6305732484076433,0.8152866242038217,0.6349206349206349,0.9047619047619048,1.3431895082976522,1.198599013763104,1.3438645219915974,1.2028737964208702,-0.1445904945345482,-0.14099072557072723,0.0984126984126984,0.18471337579617841,0.2698412698412699
0,alternative,3,8,148.25780198990253,0.5174603174603175,0.6571428571428571,0.5286624203821656,0.6878980891719745,0.47619047619047616,0.6825396825396826,1.5472173120392216,1.3412064266330475,1.5681119557562018,1.3500106986980784,-0.20601088540617418,-0.21810125705812333,0.13968253968253963,0.15923566878980888,0.2063492063492064
