station_i,station_j,distance_km
6278,6343,145.81726870570702
6278,6344,134.26195714379818
6278,6348,104.5419278113374
6278,6350,132.49566915053515
6278,6356,99.41964537441386
6278,6370,125.07419065155138
6278,6375,94.16805252501544
6278,6380,173.44731669104448
6278,6391,104.3007953939102
6279,6280,41.67204839071235
6279,6283,75.94696177122945
6279,6285,92.47310623850983
6279,6286,62.786189383003325
6279,6290,57.108224509327236
6279,6308,266.11709686021373
6279,6310,249.9755419997118
6279,6312,228.6274171763672
6279,6316,230.78447834509768
6279,6319,251.39300232198067
6279,6320,217.41994427874474
6279,6330,186.5308491864472
6279,6343,180.78686338811988
6279,6344,168.9122594711955
6279,6348,141.5229730025089
6279,6350,172.65582408749023
6279,6356,138.71322756677876
6279,6370,165.96514614064753
6279,6375,134.84609025748637
6279,6380,212.44036272359537
6279,6391,141.5420560348451
6280,6283,117.50043051492366
6280,6285,51.577105918043806
6280,6286,38.45089478133652
6280,6290,96.79444382151765
6280,6308,291.845779684932
6280,6310,276.2329773004144
6280,6312,251.14992358152776
6280,6316,255.15483577190696
6280,6319,281.16786332770124
6280,6320,237.92639539969943
6280,6330,208.74391019417652
6280,6343,205.90982070231226
6280,6344,193.95546510314225
6280,6348,170.46166210644336
6280,6350,206.36072635977126
6280,6356,171.18896689204234
6280,6370,203.44620029284278
6280,6375,173.4509601985366
6280,6380,253.00500366669922
6280,6391,182.76628833963846
6283,6285,168.36831281364067
6283,6286,129.60609703745277
6283,6290,27.857035910644917
6283,6308,238.33165851267793
6283,6310,221.8858005865918
6283,6312,210.81463838656643
6283,6316,208.53240454331305
6283,6319,214.4468692276955
6283,6320,205.07378283668325
6283,6330,173.62889434180508
6283,6343,161.7324438087878
6283,6344,151.6947706607647
6283,6348,118.94936122897522
6283,6350,130.86620164587183
6283,6356,106.15215154085901
6283,6370,111.72301305866033
6283,6375,79.53410076957297
6283,6380,143.34259983597815
6283,6391,70.91913434907396
6285,6286,65.27473394792648
6285,6290,148.36179916296427
6285,6308,318.2521253084544
6285,6310,303.60023866960154
6285,6312,274.6119435501655
6285,6316,280.72099506112716
6285,6319,312.7929153394372
6285,6320,259.396031879776
6285,6330,233.25630546439197
6285,6343,233.8672791090715
6285,6344,222.2828426803564
6285,6348,204.0765898914786
6285,6350,244.27135845281677
6285,6356,208.64540519497086
6285,6370,246.09968731113256
6285,6375,218.02722341496838
6285,6380,299.8791606999993
6285,6391,231.32317984717605
6286,6290,103.9107229181162
6286,6308,326.20885783912377
6286,6310,310.3110992231246
6286,6312,286.7753038267084
6286,6316,290.05557816323454
6286,6319,313.252841744341
6286,6320,274.2043592964159
6286,6330,244.353273311794
6286,6343,240.3352373836132
6286,6344,228.3693809250319
6286,6348,202.78235319219067
6286,6350,235.36607065526468
6286,6356,201.14863252288058
6286,6370,228.3386509116604
6286,6375,196.7895662841218
6286,6380,271.62700241215623
6286,6391,199.51200773054802
6290,6308,260.9287741901499
6290,6310,244.4292309253354
6290,6312,230.6540183617789
6290,6316,229.50973074484963
6290,6319,238.91086034922458
6290,6320,223.3450118957207
6290,6330,191.57960290249338
6290,6343,181.19756841740062
6290,6344,170.43938856376195
6290,6348,138.34220247080953
6290,6350,155.50984906341648
6290,6356,127.93996094855768
6290,6370,138.5245965231488
6290,6375,106.06328011908222
6290,6380,170.91761009002386
6290,6391,98.57362935932852
6308,6310,16.501191590337328
6308,6312,46.14956202461494
6308,6316,37.611876639720506
6308,6319,37.69046048296581
6308,6320,63.91998569561994
6308,6330,85.07230866243067
6308,6343,85.95632669915028
6308,6344,97.92360353350514
6308,6348,125.15871740796432
6308,6350,109.72242256280387
6308,6356,132.99886247109822
6308,6370,138.75241457327178
6308,6375,163.9876348956715
6308,6380,174.39202717494726
6308,6391,195.6722304212698
6310,6312,36.215958498711316
6310,6316,24.78647001285205
6310,6319,30.33694339403384
6310,6320,54.105254502895725
6310,6330,71.05414768926062
6310,6343,70.37369684612277
6310,6344,82.29878178724744
6310,6348,108.82627505603531
6310,6350,93.72618290113222
6310,6356,116.4979131450844
6310,6370,123.43639960959302
6310,6375,147.93652671235103
6310,6380,162.34300769025336
6310,6391,180.2127996288524
6312,6316,13.29708977956555
6312,6319,62.504807206139056
6312,6320,17.999575042942446
6312,6330,42.433273017198815
6312,6343,49.47030946102916
6312,6344,60.62679949363589
6312,6348,92.32628697458702
6312,6350,93.33026493354969
6312,6356,105.22706785515742
6312,6370,126.22504510528883
6312,6375,144.1475140702168
6312,6380,176.84960415813228
6312,6391,180.18431974533004
6316,6319,49.317104946401955
6316,6320,30.06763781940981
6316,6330,47.48190498175671
6316,6343,50.00731338867877
6316,6344,61.876830697257155
6316,6348,91.5751479683586
6316,6350,86.31356525618874
6316,6356,102.39170138398498
6316,6370,118.59571909196757
6316,6375,138.84201203304872
6316,6380,166.28311286888982
6316,6391,173.80111114642372
6319,6320,79.06944119511623
6319,6330,87.09917208591654
6319,6343,80.48490377694068
6319,6344,91.28707327434243
6319,6348,110.73048674220284
6319,6350,83.58286857197665
6319,6356,113.32621476187492
6319,6370,108.22814100627969
